Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3elbLgTD7hmQqf0zi6mYjn,"Laissez-nous chanter","Incontournable Gold","Gold",2022-12-23,256372,0,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:39Z,"variété française,chanson","BMG Rights Mgmt France SARL",0.693,0.732,10,-4.606,1,0.0387,0.224,0,0.209,0.542,122.061,4
spotify:track:5MghJzhlqDluxRWPSoKdSj,"Un deux trois","Fredericks Goldman Jones","Carole Fredericks,Jean-Jacques Goldman,Michael Jones",1990-12-03,258000,46,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:23:56Z,"variété française,chanson,pop française,house française","Columbia",0.603,0.862,9,-3.468,1,0.0621,0.471,0,0.0814,0.563,167.935,4
spotify:track:6VhUjSIvsIGuFv8IfAuRnk,"Chanson sur ma drôle de vie","Duos volatils","Véronique Sanson,Vianney",2018-11-23,155826,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:24:02Z,"variété française,chanson,pop française,house française","Columbia",0.586,0.601,6,-5.894,1,0.131,0.73,0,0.06,0.779,201.987,4
spotify:track:7vLSr5xZgifxkAle3HrLdr,"Je joue de la musique","Liberté chérie","Calogero",2017-08-25,240920,55,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:24:10Z,"variété française,chanson,pop française,house française","Universal Music Division Barclay",0.607,0.809,5,-6.178,0,0.0346,0.00104,0.000276,0.0944,0.842,107.024,4
spotify:track:7FeWKPL2gj7xIRv5gyHejU,"Nocif","Nocif","Hamza,Damso",2023-02-15,229386,56,true,s0rqtt261v6qpzow5xb19wbz8,2023-06-21T08:46:11Z,"hip-hop français,pop urbaine,r&b français","Just Woke Up",0.862,0.507,11,-8.112,0,0.0716,0.0258,0.00416,0.105,0.731,121.993,4
spotify:track:3ZF9W9EJ5NkqbxH6sjvEoJ,"Coco Câline","&","Julien Doré",2016-10-14,225640,59,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:24:14Z,"variété française,pop française,chanson,house française,pop française indie","Columbia",0.79,0.596,8,-8.242,0,0.0299,0.486,0.000303,0.116,0.894,116.022,4
spotify:track:4Dd8r3d1Tu2mvvjn2Vj4Sg,"Un monde parfait","Un monde parfait","Ilona Mitrecey",2005-01-01,187399,47,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:24:45Z,"pop française","Universal Music Division Polydor France",0.749,0.92,4,-5.034,0,0.0355,0.0535,0,0.305,0.978,129.981,4
spotify:track:0L4JEAhghqIcwjVyMJv8Yw,"J'veux du soleil","Le Mal De Vivre","Au P'Tit Bonheur",1992-01-01,182800,52,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:25:09Z,"variété française,chanson","Universal Music Division Label Panthéon",0.61,0.634,11,-13.052,0,0.154,0.245,0,0.206,0.876,111.364,4
spotify:track:4msnxiNpg9Mvm6f0NMYFKx,"Le pouvoir des fleurs","Caché derrière","Laurent Voulzy",1992-06-15,215160,60,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:25:35Z,"variété française,chanson,pop française,house française","Ariola",0.622,0.538,10,-13.737,1,0.03,0.0945,0,0.249,0.757,121.97,4
spotify:track:7ANEyjSvw5KwoiUevdd52f,"Dans Un Verre à Ballon","Le Best Of","Ricoune",2016-01-11,295693,48,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:25:56Z,"","La Vachacademy",0.733,0.706,10,-7.63,1,0.124,0.115,0,0.202,0.537,121.966,4
spotify:track:3MktEQFErlU3BeJY1pFFU1,"Follow The Leader","The Album","The Soca Boys,Van B. King",1998,254306,55,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:34:39Z,"soca","Red Bullet",0.766,0.92,7,-6.699,1,0.0935,0.00109,0.000161,0.337,0.938,144.073,4
spotify:track:2y31xdqCINOlMWeR7sfR23,"Les Rois mages - Remasterisé en 2006","Love","Sheila",1971,204800,45,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:26:06Z,"variété française,disco,chanson","Warner (France)",0.756,0.464,2,-11.472,1,0.141,0.24,0,0.0547,0.946,109.651,4
spotify:track:0QIshyPSwHWvmA2jzs2LND,"Le pouvoir des fleurs 2020","Le pouvoir des fleurs 2020","Tous Unis",2020-07-03,191000,27,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:26:24Z,"variété française,pop française,chanson","Sony Music Entertainment",0.69,0.746,10,-5.203,1,0.0348,0.104,0,0.0924,0.639,123.99,4
spotify:track:6YDFaClmbYmP9a6APByobv,"Enamorame (Yeah Baby) - Latino Version","Enamorame (Yeah Baby) (feat. Papi Sanchez Luyanna) [Latino Version - Tropical Family]","DJ Assad,Papi Sanchez,Luyanna",2013-12-05,201447,47,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:26:32Z,"merengue","Scorpio Music",0.879,0.93,5,-3.103,0,0.0646,0.0839,0.0467,0.156,0.968,127.016,4
spotify:track:14XvYkbnuM33ZPL6EBqFlC,"On n'est pas fatigué","Collectif Fiesta Party","Collectif Métissé",2020-07-10,241786,29,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:27:02Z,"pop française,kuduro","Universal Music Distribution Deal",0.88,0.918,11,-5.029,0,0.0828,0.0509,0,0.0558,0.853,136.959,4
spotify:track:6GtQiNxSSKPL9u1MHxizEe,"Zouglou dance - Joie de vivre","Ki dit mié","Magic System",2007,185733,0,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:27:10Z,"afro house","MS-JPS",0.881,0.769,9,-4.469,0,0.0541,0.224,0.000337,0.258,0.891,128.506,4
spotify:track:0n9eeQnvzmMcq0l4DeGWQH,"Respire encore","Cœur","Clara Luciani",2021-06-11,227333,61,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:27:33Z,"pop française,variété française,pop française indie,chanson,house française","Universal Music Division Romance Musique",0.626,0.769,11,-6.167,0,0.05,0.306,0.00000173,0.111,0.579,115.981,4
spotify:track:2Yu8DEe4uc8ApN7t7q0P4s,"Le Dernier Jour du Disco","Brûler le feu","Juliette Armanet",2021-11-19,207493,61,false,s0rqtt261v6qpzow5xb19wbz8,2023-06-20T08:27:36Z,"pop française,variété française,chanson,house française,pop française indie","Universal Music Division Romance Musique",0.625,0.895,7,-3.282,0,0.0527,0.257,0.0000114,0.0626,0.44,141.97,4
